CustomerID,FirstName,LastName,Gender,DOB,Age,NIC,Mobile,Email,Province,City,Occupation,MonthlyIncome,JoinDate
C0001,Isuru,Gunawardena,Male,2002-05-14,24,021345901V,0755693736,isuru.gunawardena328@gmail.com,Southern,Hambantota,Nurse,101765,2021-10-08
C0002,Miyuru,Abeysekera,Male,1989-05-12,37,891327130V,0779346330,miyuru.abeysekera296@gmail.com,Eastern,Trincomalee,Manager,308025,2011-12-26
C0003,Nadeesha,Perera,Female,1984-02-12,42,840433827V,0724577525,nadeesha.perera399@gmail.com,Western,Colombo,Engineer,210411,2021-06-11
C0004,Supun,Gunawardena,Male,1961-11-27,64,613315739V,0769729878,supun.gunawardena372@gmail.com,Southern,Matara,Student,0,1983-01-01
C0005,Anjan,Gunawardena,Male,2000-09-16,25,002607879V,0707467158,anjan.gunawardena572@yahoo.com,Western,Gampaha,Accountant,124831,2019-10-13
C0006,Akil,Herath,Male,2004-12-19,21,043543483V,0744920349,akil.herath345@outlook.com,Western,Gampaha,Student,0,2026-05-29
C0007,Supun,Fernando,Male,2001-01-21,25,010212269V,0778522448,supun.fernando787@gmail.com,Eastern,Trincomalee,Engineer,282594,2019-07-13
C0008,Amal,Senanayake,Male,1988-01-28,38,880283696V,0709572076,amal.senanayake356@yahoo.com,North Western,Kurunegala,Marketing Executive,95098,2019-03-01
C0009,Miyuru,Madushan,Male,1968-02-23,58,680547688V,0702150599,miyuru.madushan337@gmail.com,Uva,Monaragala,Nurse,74619,1988-01-21
C0010,Seelawathi,Ekanayake,Female,1964-11-17,61,643222897V,0756482095,seelawathi.ekanayake506@gmail.com,Western,Colombo,Data Analyst,196121,2003-01-10
C0011,Supun,Gunawardena,Male,1982-07-04,44,821854977V,0757253825,supun.gunawardena276@outlook.com,Northern,Kilinochchi,Sales Executive,119600,2009-03-05
C0012,Yashoda,Weerasinghe,Female,1988-10-13,37,882876683V,0711484263,yashoda.weerasinghe925@yahoo.com,Eastern,Batticaloa,Engineer,255947,2026-06-26
C0013,Eshani,Rajapaksha,Female,1998-08-27,27,982398061V,0707726528,eshani.rajapaksha730@outlook.com,Eastern,Ampara,Sales Executive,64384,2017-07-17
C0014,Vihangi,Weerasinghe,Female,1965-07-06,61,651873282V,0746403179,vihangi.weerasinghe88@outlook.com,Eastern,Trincomalee,Nurse,129129,1992-01-14
C0015,Hiruni,Dissanayake,Female,1974-07-22,51,742032917V,0765557223,hiruni.dissanayake691@outlook.com,Western,Colombo,Data Analyst,166558,2000-07-17
C0016,Ishara,Gunawardena,Female,2002-12-21,23,023559889V,0774862119,ishara.gunawardena961@gmail.com,Southern,Galle,Manager,205924,2022-12-07
C0017,Chathura,Madushan,Male,1980-05-17,46,801385577V,0753184273,chathura.madushan953@gmail.com,Central,Matale,Business Owner,166650,2023-12-26
C0018,Chathura,Wijesinghe,Male,1972-02-08,54,720394137V,0776848724,chathura.wijesinghe319@outlook.com,North Central,Anuradhapura,Bank Officer,155823,2021-06-17
C0019,Piumandi,Bandara,Female,1985-04-19,41,851098157V,0764531515,piumandi.bandara421@gmail.com,Western,Gampaha,Business Owner,494019,2022-04-16
C0020,Miyuru,Karunaratne,Male,2000-05-20,26,001417470V,0758201483,miyuru.karunaratne101@outlook.com,Western,Gampaha,Teacher,86803,2025-04-18
C0021,Dinethma,Ranasinghe,Female,1976-10-19,49,762934886V,0757343582,dinethma.ranasinghe365@outlook.com,Southern,Matara,Business Owner,349480,1998-11-06
C0022,Aravinda,Rajapaksha,Male,1972-05-22,54,721434454V,0762370218,aravinda.rajapaksha633@yahoo.com,North Western,Puttalam,Bank Officer,151732,2025-09-12
C0023,Miyuru,Abeysekera,Male,1991-04-13,35,911036817V,0701331945,miyuru.abeysekera48@gmail.com,Western,Colombo,Accountant,195480,2016-07-01
C0024,Yugantha,Weerasinghe,Male,2000-11-22,25,003271253V,0774014573,yugantha.weerasinghe178@yahoo.com,Eastern,Trincomalee,Teacher,86968,2023-07-23
