TransactionID,AccountNo,CustomerID,TransactionDate,TransactionType,Channel,Amount,BalanceAfter,Description,Status
TRX0000118,ACC000007,C0007,1984-10-27,Transfer,Branch,67902,0,Bank Transfer,Successful
TRX0009995,ACC000496,C0496,1985-10-05,Withdrawal,CDM,6594,232222,Branch Withdrawal,Successful
TRX0009983,ACC000496,C0496,1986-04-12,Withdrawal,Branch,6783,709195,ATM Withdrawal,Successful
TRX0009997,ACC000496,C0496,1986-09-27,Salary Credit,POS,426415,665695,Monthly Salary,Successful
TRX0009998,ACC000496,C0496,1986-12-19,Deposit,ATM,35090,700785,Cash Deposit,Successful
TRX0009986,ACC000496,C0496,1987-01-05,Deposit,Branch,13456,643662,Cash Deposit,Successful
TRX0009982,ACC000496,C0496,1988-11-25,Deposit,Branch,53170,715978,Cheque Deposit,Successful
TRX0009981,ACC000496,C0496,1989-01-06,Deposit,CDM,98932,662808,Cheque Deposit,Successful
TRX0002076,ACC000103,C0103,1989-07-26,Deposit,Mobile Banking,89333,2021602,Cash Deposit,Successful
TRX0000123,ACC000007,C0007,1991-02-25,Bill Payment,Mobile Banking,39849,0,Dialog Bill,Successful
TRX0002078,ACC000103,C0103,1991-08-17,Withdrawal,ATM,22049,2045647,Branch Withdrawal,Successful
TRX0000113,ACC000007,C0007,1992-06-30,Withdrawal,ATM,47087,342366,ATM Withdrawal,Successful
TRX0009984,ACC000496,C0496,1992-07-04,Bill Payment,Mobile Banking,16278,692917,Dialog Bill,Successful
TRX0002073,ACC000103,C0103,1992-10-13,Salary Credit,Branch,182646,2007399,Monthly Salary,Successful
TRX0003541,ACC000177,C0177,1993-09-12,Deposit,Mobile Banking,78624,249793,Cash Deposit,Successful
TRX0002257,ACC000112,C0112,1994-06-13,Withdrawal,Mobile Banking,46244,1420689,ATM Withdrawal,Successful
TRX0007496,ACC000373,C0373,1994-06-20,Online Purchase,Internet Banking,26253,26851,Daraz Purchase,Successful
TRX0000119,ACC000007,C0007,1994-06-20,Deposit,Mobile Banking,34694,34694,CDM Deposit,Successful
TRX0003542,ACC000177,C0177,1994-10-28,Transfer,Mobile Banking,41152,208641,Online Transfer,Successful
TRX0002068,ACC000103,C0103,1995-01-30,Online Purchase,Branch,49620,1648144,Uber Payment,Successful
TRX0002241,ACC000112,C0112,1995-03-28,Withdrawal,ATM,1552,1136819,Cash Withdrawal,Successful
TRX0009988,ACC000496,C0496,1995-07-14,Transfer,POS,78496,658739,Bank Transfer,Successful
TRX0000121,ACC000007,C0007,1995-10-26,Withdrawal,Mobile Banking,40851,0,ATM Withdrawal,Successful
TRX0002243,ACC000112,C0112,1995-11-04,Deposit,Internet Banking,49395,1245844,Cheque Deposit,Successful
TRX0008202,ACC000408,C0408,1996-07-23,Salary Credit,Internet Banking,425358,425358,Monthly Salary,Failed
TRX0001008,ACC000050,C0050,1997-01-11,Deposit,Internet Banking,89413,125139,CDM Deposit,Successful
TRX0009987,ACC000496,C0496,1997-02-11,Deposit,Branch,93573,737235,Cheque Deposit,Successful
TRX0007492,ACC000373,C0373,1997-05-13,Deposit,Internet Banking,32884,32884,Cash Deposit,Successful
TRX0003547,ACC000177,C0177,1997-07-14,Transfer,Mobile Banking,48734,643255,Fund Transfer,Successful
TRX0003536,ACC000177,C0177,1997-08-01,Withdrawal,Mobile Banking,22447,217720,ATM Withdrawal,Successful
TRX0000111,ACC000007,C0007,1997-09-26,Bill Payment,ATM,946,404182,Dialog Bill,Successful
TRX0002249,ACC000112,C0112,1998-09-13,Salary Credit,Mobile Banking,145001,1496406,Monthly Salary,Successful
TRX0008204,ACC000408,C0408,1998-11-06,Deposit,ATM,69112,487308,Cheque Deposit,Successful
TRX0004399,ACC000219,C0219,1998-11-09,Withdrawal,Mobile Banking,38295,59360,Cash Withdrawal,Successful
TRX0003543,ACC000177,C0177,1999-02-10,Transfer,POS,28489,180152,Bank Transfer,Successful
TRX0002082,ACC000103,C0103,1999-04-16,Transfer,ATM,83439,1825821,Fund Transfer,Successful
TRX0001015,ACC000050,C0050,1999-05-09,Online Purchase,Internet Banking,54836,0,Amazon Purchase,Successful
TRX0003540,ACC000177,C0177,1999-06-01,Deposit,Internet Banking,85175,171169,Cheque Deposit,Successful
TRX0005620,ACC000281,C0281,1999-09-07,Deposit,Internet Banking,2588,135453,CDM Deposit,Successful
